experiment_id,dataset,input_clip_id,raag_name,input_tempo_bpm,input_tempo_category,input_quality_tier,input_spectral_centroid,input_dynamic_range,input_duration_sec,input_chroma_sparsity,input_chroma_entropy,input_pitch_confidence,input_num_active_pitches,model_name,model_architecture,conditioning_level,conditioning_type,input_required,target_genre,target_bpm,tempo_condition,hcm_tempo_name,time_signature,rhythm_signature,random_seed,cfg_scale,generation_duration,text_prompt,tempo_mismatch_ratio,output_filename,output_spectral_centroid,output_dynamic_range,output_tempo_bpm,output_rms_energy,pitch_contour_correlation,melodic_interval_correlation,pitch_range_overlap,chroma_cosine_similarity,chroma_euclidean_distance,chroma_kl_divergence,chroma_emd,chroma_pearson_correlation,chroma_spearman_correlation,frame-by-frame_chroma_similarity,spectral_centroid_shift,dynamic_range_preservation,spectral_similarity,tempo_error_percent,tempo_achievement_score,tempo_adaptation_quality,overall_quality,melody_preservation,genre_coherence,fusion_naturalness,rhythmic_coherence,artifacts_present,generation_status,generation_date,generation_time_sec,evaluator_notes,experiment_batch
188,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",230,3.0,30,"todi Madhya Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.024,DS1_Saraga_todi_08_Stable-Audio-Open_Funk_Madhya_230.wav,2259.052,30.171,117.454,0.171,0.097,-0.001,0.636,0.825,39.726,0.206,0.73,-0.11,-0.161,0.688,1.212,1.221,0.985,2.132,1.0,1.0,,,,,,,completed,1761182597.181234,32.919516801834106,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
189,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",231,3.0,30,"todi Madhya Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.536,DS1_Saraga_todi_08_Stable-Audio-Open_Funk_Drut_231.wav,4287.708,80.0,89.103,0.185,-0.442,0.008,0.636,0.778,14.551,0.267,0.743,0.092,-0.105,0.55,2.3,3.239,0.975,50.504,0.0,0.0,,,,,,,completed,1761182642.218698,32.926087617874146,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
190,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",232,3.0,30,"todi Madhya Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.597,DS1_Saraga_todi_08_Stable-Audio-Open_Blues_Vilambit_232.wav,1594.404,80.0,135.999,0.179,-0.248,0.008,1.0,0.827,16.945,0.194,0.625,0.096,0.329,0.593,0.855,3.239,0.991,94.372,0.0,0.0,,,,,,,completed,1761182687.46194,32.85796523094177,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
191,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,120,Madhya,Madhya,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",233,3.0,30,"todi Madhya Blues music, 120 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.024,DS1_Saraga_todi_08_Stable-Audio-Open_Blues_Madhya_233.wav,2741.121,44.32,117.454,0.034,0.179,-0.014,0.818,0.746,5.21,0.311,1.059,-0.412,-0.566,0.599,1.471,1.794,0.988,2.132,1.0,1.0,,,,,,,completed,1761182732.748426,32.9245548248291,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
192,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,180,Drut,Drut,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",234,3.0,30,"todi Madhya Blues music, 180 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.536,DS1_Saraga_todi_08_Stable-Audio-Open_Blues_Drut_234.wav,1779.595,80.0,89.103,0.37,-0.031,0.012,1.0,0.735,30.406,0.308,0.921,-0.281,-0.231,0.469,0.955,3.239,0.991,50.504,0.0,0.0,,,,,,,completed,1761182778.435647,32.914472341537476,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
193,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",235,3.0,30,"Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.597,DS1_Saraga_todi_08_MusicGen-Melody_Rock_Vilambit_235.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
194,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",236,3.0,30,"Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.024,DS1_Saraga_todi_08_MusicGen-Melody_Rock_Madhya_236.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
195,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",237,3.0,30,"Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.536,DS1_Saraga_todi_08_MusicGen-Melody_Rock_Drut_237.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
196,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",238,3.0,30,"Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.597,DS1_Saraga_todi_08_MusicGen-Melody_Jazz_Vilambit_238.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
197,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",239,3.0,30,"Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.024,DS1_Saraga_todi_08_MusicGen-Melody_Jazz_Madhya_239.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
198,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",240,3.0,30,"Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.536,DS1_Saraga_todi_08_MusicGen-Melody_Jazz_Drut_240.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
199,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",241,3.0,30,"Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.597,DS1_Saraga_todi_08_MusicGen-Melody_Funk_Vilambit_241.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
200,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",242,3.0,30,"Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.024,DS1_Saraga_todi_08_MusicGen-Melody_Funk_Madhya_242.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
201,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",243,3.0,30,"Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.536,DS1_Saraga_todi_08_MusicGen-Melody_Funk_Drut_243.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
202,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",244,3.0,30,"Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.597,DS1_Saraga_todi_08_MusicGen-Melody_Blues_Vilambit_244.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
203,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,120,Madhya,Madhya,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",245,3.0,30,"Blues music, 120 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.024,DS1_Saraga_todi_08_MusicGen-Melody_Blues_Madhya_245.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
204,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,180,Drut,Drut,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",246,3.0,30,"Blues music, 180 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.536,DS1_Saraga_todi_08_MusicGen-Melody_Blues_Drut_246.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
205,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",247,3.0,30,"Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.597,DS1_Saraga_todi_08_MusicGen-Style_Rock_Vilambit_247.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
206,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",248,3.0,30,"Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.024,DS1_Saraga_todi_08_MusicGen-Style_Rock_Madhya_248.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
207,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",249,3.0,30,"Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.536,DS1_Saraga_todi_08_MusicGen-Style_Rock_Drut_249.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
208,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",250,3.0,30,"Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.597,DS1_Saraga_todi_08_MusicGen-Style_Jazz_Vilambit_250.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
209,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",251,3.0,30,"Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.024,DS1_Saraga_todi_08_MusicGen-Style_Jazz_Madhya_251.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
210,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",252,3.0,30,"Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.536,DS1_Saraga_todi_08_MusicGen-Style_Jazz_Drut_252.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
211,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",253,3.0,30,"Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.597,DS1_Saraga_todi_08_MusicGen-Style_Funk_Vilambit_253.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
212,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",254,3.0,30,"Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.024,DS1_Saraga_todi_08_MusicGen-Style_Funk_Madhya_254.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
213,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",255,3.0,30,"Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.536,DS1_Saraga_todi_08_MusicGen-Style_Funk_Drut_255.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
214,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",256,3.0,30,"Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.597,DS1_Saraga_todi_08_MusicGen-Style_Blues_Vilambit_256.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
215,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Blues,120,Madhya,Madhya,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",257,3.0,30,"Blues music, 120 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.024,DS1_Saraga_todi_08_MusicGen-Style_Blues_Madhya_257.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
216,DS1_Saraga,todi_08,todi,117.2,Madhya,PROBLEMATIC,2238.6,59.7,30.0,0.243,3.343,0.318,9.08,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Blues,180,Drut,Drut,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",258,3.0,30,"Blues music, 180 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.536,DS1_Saraga_todi_08_MusicGen-Style_Blues_Drut_258.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
217,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",259,3.0,30,"todi Drut Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.579,DS1_Saraga_todi_03_Stable-Audio-Open_Rock_Vilambit_259.wav,1593.243,80.0,143.555,0.19,0.048,0.0,1.0,0.82,26.601,0.221,0.59,0.052,0.112,0.669,0.81,4.357,0.992,104.905,0.0,0.0,,,,,,,completed,1761182823.680603,32.94170641899109,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
218,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",260,3.0,30,"todi Drut Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.992,DS1_Saraga_todi_03_Stable-Audio-Open_Rock_Madhya_260.wav,1697.388,80.0,123.047,0.236,0.396,0.02,0.778,0.772,37.973,0.259,0.817,-0.154,0.084,0.631,0.863,4.357,0.989,2.512,1.0,1.0,,,,,,,completed,1761182869.118643,32.927836656570435,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
219,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",261,3.0,30,"todi Drut Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.488,DS1_Saraga_todi_03_Stable-Audio-Open_Rock_Drut_261.wav,2300.874,80.0,123.047,0.294,-0.123,0.044,0.889,0.802,18.47,0.255,0.795,0.256,0.168,0.517,1.17,4.357,0.988,31.659,0.4,0.376,,,,,,,completed,1761182914.33728,32.92817258834839,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
220,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",262,3.0,30,"todi Drut Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.579,DS1_Saraga_todi_03_Stable-Audio-Open_Jazz_Vilambit_262.wav,2229.993,80.0,143.555,0.071,-0.056,0.011,1.0,0.803,9.984,0.242,0.792,0.007,0.084,0.616,1.134,4.357,0.982,104.905,0.0,0.0,,,,,,,completed,1761182959.469639,33.09782600402832,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
221,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",263,3.0,30,"todi Drut Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.992,DS1_Saraga_todi_03_Stable-Audio-Open_Jazz_Madhya_263.wav,1136.261,62.726,99.384,0.121,0.153,0.026,1.0,0.75,12.332,0.305,0.535,0.085,-0.077,0.491,0.578,3.416,0.985,17.202,0.8,0.8,,,,,,,completed,1761183004.652161,32.847397804260254,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
222,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",264,3.0,30,"todi Drut Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.488,DS1_Saraga_todi_03_Stable-Audio-Open_Jazz_Drut_264.wav,3675.111,80.0,117.454,0.09,-0.163,0.001,0.667,0.647,8.987,0.438,1.162,-0.499,-0.476,0.53,1.869,4.357,0.973,34.765,0.4,0.376,,,,,,,completed,1761183049.777584,32.86850428581238,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
223,DS1_Saraga,todi_03,todi,121.0,Drut,PROBLEMATIC,2413.92,59.7,30.0,0.216,3.341,0.311,9.4,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",265,3.0,30,"todi Drut Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.579,DS1_Saraga_todi_03_Stable-Audio-Open_Funk_Vilambit_265.wav,1741.121,80.0,143.555,0.128,0.135,0.044,1.0,0.777,25.127,0.27,0.751,-0.297,-0.168,0.646,0.886,4.357,0.988,104.905,0.0,0.0,,,,,,,completed,1761183095.592471,32.955049991607666,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
